datetime,temperature,wind,sunshine,precipitation
2019-07-13 06:00:00,14.9,2.8,0.0,0.0
2019-07-13 07:00:00,14.9,3.0,0.0,0.0
2019-07-13 08:00:00,15.1,3.1,0.0,0.2
2019-07-13 09:00:00,15.3,3.4,0.0,0.0
2019-07-13 10:00:00,16.3,2.6,0.0,0.5
2019-07-13 11:00:00,16.9,3.9,2.0,0.0
2019-07-13 12:00:00,18.3,5.1,4.0,0.0
2019-07-13 13:00:00,18.6,5.7,7.0,0.0
2019-07-13 14:00:00,18.8,5.1,13.0,0.0
2019-07-13 15:00:00,19.7,4.0,0.0,0.0
2019-07-13 16:00:00,20.3,2.9,20.0,0.0
2019-07-13 17:00:00,21.2,3.5,38.0,0.0
2019-07-13 18:00:00,21.1,3.8,30.0,0.0
2019-07-13 19:00:00,19.6,4.3,7.0,0.0
2019-07-13 20:00:00,19.6,3.5,3.0,0.2
2019-07-13 21:00:00,18.7,5.2,1.0,0.0
2019-07-13 22:00:00,18.3,4.8,0.0,0.0
2019-07-13 23:00:00,17.6,5.3,0.0,0.0
2019-07-14 00:00:00,17.3,5.7,0.0,0.0
2019-07-14 01:00:00,16.1,5.4,0.0,0.0
2019-07-14 02:00:00,15.1,4.4,0.0,0.0
2019-07-14 03:00:00,14.6,3.0,0.0,0.0
2019-07-14 04:00:00,14.6,3.7,0.0,0.0
2019-07-14 05:00:00,14.7,3.6,0.0,0.0
2019-07-14 06:00:00,14.3,3.1,0.0,0.0
2019-07-14 07:00:00,14.4,4.3,0.0,0.0
2019-07-14 08:00:00,14.4,5.1,0.0,0.0
2019-07-14 09:00:00,14.9,5.4,5.0,0.0
2019-07-14 10:00:00,15.7,5.1,12.0,0.0
2019-07-14 11:00:00,16.0,4.1,0.0,0.0
2019-07-14 12:00:00,16.6,3.5,1.0,0.0
2019-07-14 13:00:00,16.9,3.8,0.0,0.0
2019-07-14 14:00:00,17.3,3.8,0.0,0.0
2019-07-14 15:00:00,18.4,4.4,3.0,0.0
2019-07-14 16:00:00,18.0,4.3,0.0,0.0
2019-07-14 17:00:00,18.0,4.4,0.0,0.0
2019-07-14 18:00:00,17.9,4.2,0.0,0.0
2019-07-14 19:00:00,17.8,4.0,0.0,0.0
2019-07-14 20:00:00,17.3,3.1,0.0,0.0
2019-07-14 21:00:00,16.8,2.6,0.0,0.0
2019-07-14 22:00:00,16.3,2.3,0.0,0.0
2019-07-14 23:00:00,15.7,1.9,0.0,0.0
2019-07-15 00:00:00,15.4,1.8,0.0,0.0
2019-07-15 01:00:00,15.6,1.9,0.0,0.0
2019-07-15 02:00:00,15.2,2.3,0.0,0.0
2019-07-15 03:00:00,15.3,2.3,0.0,0.0
2019-07-15 04:00:00,14.8,2.6,0.0,0.0
2019-07-15 05:00:00,14.5,3.0,0.0,0.0
2019-07-15 06:00:00,13.5,2.7,0.0,0.0
2019-07-15 07:00:00,13.5,3.3,0.0,0.0
2019-07-15 08:00:00,13.9,3.5,0.0,0.0
2019-07-15 09:00:00,15.1,3.0,0.0,0.0
2019-07-15 10:00:00,15.7,3.4,0.0,0.0
2019-07-15 11:00:00,15.6,4.1,0.0,0.0
2019-07-15 12:00:00,15.7,3.7,0.0,0.0
2019-07-15 13:00:00,15.3,3.7,0.0,0.0
2019-07-15 14:00:00,15.6,3.9,0.0,0.0
2019-07-15 15:00:00,15.8,3.3,0.0,0.0
2019-07-15 16:00:00,16.0,3.6,0.0,0.0
2019-07-15 17:00:00,16.5,3.3,0.0,0.0
2019-07-15 18:00:00,16.8,3.0,0.0,0.0
2019-07-15 19:00:00,16.2,3.4,0.0,0.0
2019-07-15 20:00:00,16.1,3.3,0.0,0.0
2019-07-15 21:00:00,15.9,1.5,0.0,0.0
2019-07-15 22:00:00,15.5,1.3,0.0,0.0
2019-07-15 23:00:00,14.9,1.0,0.0,0.0
2019-07-16 00:00:00,14.9,1.8,0.0,0.0
2019-07-16 01:00:00,13.9,1.6,0.0,0.0
2019-07-16 02:00:00,13.0,2.1,0.0,0.0
2019-07-16 03:00:00,12.9,3.8,0.0,0.0
2019-07-16 04:00:00,11.8,3.1,0.0,0.0
2019-07-16 05:00:00,10.2,2.6,0.0,0.0
2019-07-16 06:00:00,10.3,2.3,0.0,0.0
2019-07-16 07:00:00,11.2,1.3,0.0,0.0
2019-07-16 08:00:00,12.3,0.8,0.0,0.0
2019-07-16 09:00:00,13.1,0.6,0.0,0.0
2019-07-16 10:00:00,14.2,1.6,0.0,0.0
2019-07-16 11:00:00,15.3,2.7,0.0,0.0
2019-07-16 12:00:00,15.7,3.3,0.0,0.0
2019-07-16 13:00:00,15.9,3.1,0.0,0.0
2019-07-16 14:00:00,16.3,3.0,0.0,0.0
2019-07-16 15:00:00,17.9,3.2,2.0,0.0
2019-07-16 16:00:00,18.6,2.9,30.0,0.0
2019-07-16 17:00:00,18.9,2.9,60.0,0.0
2019-07-16 18:00:00,20.1,2.5,60.0,0.0
2019-07-16 19:00:00,19.7,2.6,60.0,0.0
2019-07-16 20:00:00,19.1,2.9,50.0,0.0
2019-07-16 21:00:00,17.9,3.0,26.0,0.0
2019-07-16 22:00:00,16.0,2.8,12.0,0.0
2019-07-16 23:00:00,13.5,1.5,0.0,0.0
2019-07-17 00:00:00,13.6,0.8,0.0,0.0
2019-07-17 01:00:00,12.0,1.4,0.0,0.0
2019-07-17 02:00:00,11.3,2.1,0.0,0.0
2019-07-17 03:00:00,11.2,2.2,0.0,0.0
2019-07-17 04:00:00,10.1,2.1,0.0,0.0
2019-07-17 05:00:00,9.5,1.8,0.0,0.0
2019-07-17 06:00:00,9.4,1.5,0.0,0.0
2019-07-17 07:00:00,10.9,1.7,0.0,0.0
2019-07-17 08:00:00,12.4,1.1,0.0,0.0
2019-07-17 09:00:00,13.5,1.3,0.0,0.0
2019-07-17 10:00:00,14.5,1.3,0.0,0.0
2019-07-17 11:00:00,15.7,1.1,0.0,0.0
2019-07-17 12:00:00,16.6,1.2,0.0,0.0
2019-07-17 13:00:00,17.7,1.9,0.0,0.0
2019-07-17 14:00:00,17.9,2.4,0.0,0.0
2019-07-17 15:00:00,19.0,2.1,0.0,0.0
2019-07-17 16:00:00,19.7,2.1,2.0,0.0
2019-07-17 17:00:00,20.7,2.6,27.0,0.0
2019-07-17 18:00:00,21.1,2.4,43.0,0.0
2019-07-17 19:00:00,20.2,2.5,50.0,0.0
2019-07-17 20:00:00,20.2,2.1,51.0,0.0
2019-07-17 21:00:00,18.7,2.1,39.0,0.0
2019-07-17 22:00:00,15.5,1.9,0.0,0.0
2019-07-17 23:00:00,15.4,1.7,0.0,0.0
2019-07-18 00:00:00,15.8,1.4,0.0,0.0
2019-07-18 01:00:00,13.2,1.3,0.0,0.0
2019-07-18 02:00:00,13.6,1.7,0.0,0.0
2019-07-18 03:00:00,12.6,1.9,0.0,0.0
2019-07-18 04:00:00,13.0,2.1,0.0,0.0
2019-07-18 05:00:00,13.3,2.2,0.0,0.0
2019-07-18 06:00:00,13.0,2.1,0.0,0.0
2019-07-18 07:00:00,13.4,1.9,0.0,0.0
2019-07-18 08:00:00,14.7,1.5,10.0,0.0
2019-07-18 09:00:00,16.6,2.0,35.0,0.0
2019-07-18 10:00:00,19.7,2.5,50.0,0.0
2019-07-18 11:00:00,22.0,1.8,54.0,0.0
2019-07-18 12:00:00,24.2,2.4,60.0,0.0
2019-07-18 13:00:00,25.9,2.5,37.0,0.0
2019-07-18 14:00:00,26.2,3.3,42.0,0.0
2019-07-18 15:00:00,25.3,2.9,15.0,0.0
2019-07-18 16:00:00,23.9,4.2,4.0,0.1
2019-07-18 17:00:00,23.6,2.8,0.0,0.0
2019-07-18 18:00:00,23.9,2.0,14.0,0.0
2019-07-18 19:00:00,23.7,1.5,0.0,0.0
2019-07-18 20:00:00,23.5,1.3,0.0,0.0
2019-07-18 21:00:00,22.4,4.0,0.0,0.0
2019-07-18 22:00:00,21.6,3.0,0.0,0.0
2019-07-18 23:00:00,19.0,2.0,0.0,0.2
2019-07-19 00:00:00,19.0,1.4,0.0,0.0
2019-07-19 01:00:00,18.2,2.3,0.0,0.0
2019-07-19 02:00:00,17.7,1.1,0.0,0.0
